wkt_geom_BUS,CMPLNT_NUM,SHLTR_ID,DIST_BUS
"MultiPoint ((-73.90669099999996661 40.87648700000005419),(-73.90590391000000636 40.87741309999999828))",100470547,BX03271,122.3875482
"MultiPoint ((-74.03085910000000069 40.61612817000000319),(-74.02710699999994404 40.61687100000006012))",100471377,BR02952,328.0466605
"MultiPoint ((-74.00318299999997862 40.57711800000004132),(-74.00037222999999642 40.57916262999999901))",100492832,BR02124,328.919303
"MultiPoint ((-73.97169699999994918 40.79512700000003633),(-73.97164315999999928 40.79504076999999995))",100611672,MN01627,10.59920395
"MultiPoint ((-73.86868099999998094 40.8527000000000271),(-73.86771751000000563 40.85409235000000194))",100632500,BX03533,174.6663613
"MultiPoint ((-73.94330463000000009 40.81847300999999817),(-73.94264899999996032 40.81707700000004024))",100662098,MN01355,164.5996958
"MultiPoint ((-73.90215699999998833 40.74098000000003594),(-73.90108752999999808 40.74113349999999656))",100922220,QN04580,91.92554965
"MultiPoint ((-73.95684095999999386 40.58620042999999811),(-73.95586299999996527 40.58771900000004962))",101002642,BR02032,187.8589729
"MultiPoint ((-73.81403102999999533 40.69222113000000007),(-73.81110199999994848 40.69171800000003714))",101362728,QN04288,253.8042297
"MultiPoint ((-73.84050299999995559 40.82820800000007466),(-73.84042311000000325 40.82804069000000169))",101535508,BX03506,19.76425299
"MultiPoint ((-73.95046881000000383 40.70702876000000003),(-73.94829299999997829 40.7064860000000408))",101617683,BR02608,193.4977049
"MultiPoint ((-73.99782999999996491 40.72608000000002448),(-73.99532908999999847 40.72851158000000282))",101624453,MN0025,342.8582038
"MultiPoint ((-73.98460029999999676 40.72252157999999866),(-73.98401699999993752 40.72168500000003633))",101630823,MN01168,105.1630606
"MultiPoint ((-74.12595813000000078 40.63386604000000091),(-74.12277299999993829 40.63403900000002977))",101673696,SI0033,270.1422229
"MultiPoint ((-73.99909950999999353 40.72403496999999817),(-73.99782999999996491 40.72608000000002448))",101834260,MN0025,251.1505355
"MultiPoint ((-73.87195399999995971 40.87792300000006662),(-73.87034581000000344 40.87432103999999811))",102536763,BX03600,422.3488632
"MultiPoint ((-73.97763599999996131 40.75814200000007759),(-73.97743058999999732 40.75823237000000177))",102827203,MN01506,20.03916528
"MultiPoint ((-73.98628528000000415 40.75664455999999802),(-73.98314199999998664 40.7559540000000311))",102879382,MN0220,276.2878408
"MultiPoint ((-73.99033113000000128 40.73464580000000268),(-73.98973399999994172 40.73381800000004205))",102886649,MN01493,104.8556447
"MultiPoint ((-73.98028372000000275 40.76519082000000083),(-73.9798099999999863 40.7660300000000575))",102905346,MN0225,101.4112634
"MultiPoint ((-73.82308199999994258 40.86586900000003197),(-73.82158284999999864 40.86846737999999846))",102959716,BX03281,315.0176541
"MultiPoint ((-73.94757299999997713 40.78381500000006099),(-73.94640047000000038 40.78307848000000035))",102984728,MN01668,128.395306
"MultiPoint ((-74.00043438999999523 40.72633233999999902),(-73.99971899999997049 40.72665200000005825))",103023731,MN01145,70.09134197
"MultiPoint ((-73.99999062000000549 40.72361776999999705),(-73.99971899999997049 40.72665200000005825))",103186821,MN01145,337.7274943
