wkt_geom_LIB,CMPLNT_NUM,LIBRARY,DIST_LIB
"MultiPoint ((-73.90770595199646209 40.88069989038004337),(-73.90590391000000636 40.87741309999999828))",100470547,Kingsbridge,395.3460789
"MultiPoint ((-74.03136940540869659 40.61637311059178046),(-74.03085910000000069 40.61612817000000319))",100471377,Fort Hamilton,51.03502198
"MultiPoint ((-74.00037222999999642 40.57916262999999901),(-73.98606199262650307 40.57663777607667299))",100492832,Coney Island,1243.65888
"MultiPoint ((-73.97164315999999928 40.79504076999999995),(-73.96760677135273454 40.79587354648015207))",100611672,Bloomingdale,352.9800639
"MultiPoint ((-73.86771751000000563 40.85409235000000194),(-73.86414666163359755 40.85487588027383765))",100632500,Pelham Parkway-Van Nest,313.4142982
"MultiPoint ((-73.94330463000000009 40.81847300999999817),(-73.94116092350962788 40.81483582138157118))",100662098,Countee Cullen,442.5545605
"MultiPoint ((-73.90979373873230429 40.74534171298671481),(-73.90108752999999808 40.74113349999999656))",100922220,Woodside,871.2642409
"MultiPoint ((-73.95684095999999386 40.58620042999999811),(-73.95537377987903938 40.58701342922592659))",101002642,Sheepshead Bay,153.5529959
"MultiPoint ((-73.8248296985085517 40.68690728824832803),(-73.81403102999999533 40.69222113000000007))",101362728,Lefferts,1086.925229
"MultiPoint ((-73.85017019717382425 40.82662920810022911),(-73.84042311000000325 40.82804069000000169))",101535508,Castle Hill,837.0170006
"MultiPoint ((-73.95046881000000383 40.70702876000000003),(-73.94793571283621247 40.71364488802169035))",101617683,Leonard,765.2563065
"MultiPoint ((-73.99568416859453635 40.72413926605543111),(-73.99532908999999847 40.72851158000000282))",101624453,Mulberry Street,486.4652249
"MultiPoint ((-73.98460029999999676 40.72252157999999866),(-73.9794231441744472 40.71978015438276088))",101630823,Hamilton Fish Park,532.9232924
"MultiPoint ((-74.1311046150839843 40.63758561600359087),(-74.12595813000000078 40.63386604000000091))",101673696,Port Richmond,600.1332902
"MultiPoint ((-73.99909950999999353 40.72403496999999817),(-73.99568416859453635 40.72413926605543111))",101834260,Mulberry Street,288.7776624
"MultiPoint ((-73.87838435032448103 40.87437981398937836),(-73.87034581000000344 40.87432103999999811))",102536763,Mosholu,677.6382487
"MultiPoint ((-73.97743058999999732 40.75823237000000177),(-73.97736329270696842 40.76080689474171947))",102827203,53rd Street,285.9555426
"MultiPoint ((-73.98628528000000415 40.75664455999999802),(-73.98223080385784556 40.75320442290988154))",102879382,Stephen A. Schwarzman Building,513.0007531
"MultiPoint ((-73.99033113000000128 40.73464580000000268),(-73.98774284104662513 40.72890664078862955))",102886649,Ottendorfer,673.7886662
"MultiPoint ((-73.98028372000000275 40.76519082000000083),(-73.97736329270696842 40.76080689474171947))",102905346,53rd Street,545.7209467
"MultiPoint ((-73.82931594567217815 40.87075330808789175),(-73.82158284999999864 40.86846737999999846))",102959716,Baychester,699.5884073
"MultiPoint ((-73.95180567162080365 40.78595979862155474),(-73.94640047000000038 40.78307848000000035))",102984728,96th Street,557.2616393
"MultiPoint ((-74.00043438999999523 40.72633233999999902),(-73.99568416859453635 40.72413926605543111))",103023731,Mulberry Street,469.4305569
"MultiPoint ((-73.99999062000000549 40.72361776999999705),(-73.99568416859453635 40.72413926605543111))",103186821,Mulberry Street,368.4119985
"MultiPoint ((-73.92438195200242035 40.81158963775246207),(-73.9211522599999995 40.81698057999999918))",103238969,Mott Haven,657.7634143
"MultiPoint ((-73.90504715000000147 40.71518240000000333),(-73.90258827579805256 40.70522689472795008))",103263613,Ridgewood,1124.898337
"MultiPoint ((-73.92438195200242035 40.81158963775246207),(-73.91550417999999922 40.80091171000000116))",103774260,Mott Haven,1402.591269
"MultiPoint ((-73.90961260000000266 40.6789441399999987),(-73.90860343294448853 40.67152665585843607))",103838800,Brownsville,828.1012922
"MultiPoint ((-73.99122081783711735 40.76493461839480403),(-73.98724823000000583 40.76072884999999957))",104266246,Columbus,575.0187984
"MultiPoint ((-73.89636256999999375 40.75349993999999754),(-73.88506932468307298 40.75019608559315287))",104361827,Jackson Heights,1021.850584
"MultiPoint ((-74.01311522000000309 40.703596730000001),(-74.0078692134009799 40.71357685109020963))",104617200,New Amsterdam,1193.649692
"MultiPoint ((-74.16893609999999626 40.58230198999999772),(-74.14852127833857764 40.60960200172146273))",104777868,Todt Hill-Westerleigh,3489.486398
"MultiPoint ((-73.91940255000000093 40.82386861999999894),(-73.91758393603561217 40.82658455897066574))",104876558,Melrose,338.3814002
"MultiPoint ((-73.98128377000000455 40.71351279000000289),(-73.9794231441744472 40.71978015438276088))",104893682,Hamilton Fish Park,713.5161923
"MultiPoint ((-73.88560572000000093 40.8465525499999984),(-73.88301210482435977 40.8446444530056354))",104960321,West Farms,304.5316343
"MultiPoint ((-73.83401936999999293 40.75737941999999947),(-73.82888468513289126 40.75777406826377813))",105179303,Flushing,435.7958556
"MultiPoint ((-73.8248296985085517 40.68690728824832803),(-73.8214004799999941 40.68731964999999917))",105228155,Lefferts,293.4725603
"MultiPoint ((-73.98454684522840807 40.77350699119269706),(-73.98236233999999456 40.76795511000000261))",105364507,"Library for the Performing Arts, Dorothy and Lewis B. Cullman Center",643.52753
"MultiPoint ((-73.98345536969874559 40.6682350722980317),(-73.97889575000000661 40.66814681999999692))",105366110,Park Slope,385.6663561
"MultiPoint ((-73.91758393603561217 40.82658455897066574),(-73.91425316000000123 40.81874051999999864))",105609170,Melrose,915.2816811
"MultiPoint ((-73.93365084956477062 40.66848651013449256),(-73.92235870000000375 40.6685342700000021))",105659026,Eastern Parkway,954.825751
"MultiPoint ((-73.96019024000000286 40.65700628999999822),(-73.95824218248398552 40.65192508104459534))",105793279,Flatbush,587.8149374
"MultiPoint ((-73.95871388000000479 40.71891957999999789),(-73.9506949751409195 40.72602806688718147))",105879583,Greenpoint,1040.254859
"MultiPoint ((-73.93921788999999478 40.84283849999999916),(-73.93386591312449241 40.84787004116821407))",105931557,Fort Washington,718.2741994
"MultiPoint ((-73.91862332039818284 40.75852926696433087),(-73.91434800999999766 40.76469405999999651))",105977182,Broadway,773.9447034
"MultiPoint ((-73.9151790500000061 40.84064129000000065),(-73.91008714449384343 40.84400191175044625))",106019688,Grand Concourse,568.9344188
"MultiPoint ((-73.91758393603561217 40.82658455897066574),(-73.91425316000000123 40.81874051999999864))",106134411,Melrose,915.2816811
"MultiPoint ((-73.91173557000000471 40.70933313999999825),(-73.90258827579805256 40.70522689472795008))",106161765,Ridgewood,897.4761157
"MultiPoint ((-73.86295314000000189 40.74885110999999682),(-73.86197684397808416 40.7508940803989006))",106215785,Corona,241.3878303
"MultiPoint ((-74.0136300012150059 40.64591212398882902),(-74.0078244900000044 40.64406576999999743))",106325377,Sunset Park,532.1440256
"MultiPoint ((-73.84690723999999307 40.68124653999999651),(-73.84648846296761349 40.68086717885688586))",106421119,Ozone Park <br> (Closed for renovations),55.02804753
"MultiPoint ((-73.99866747999999461 40.67896865000000162),(-73.99801906031493104 40.68321351533758445))",106909331,Carroll Gardens,474.5593661
"MultiPoint ((-73.92168907999999306 40.68928980999999823),(-73.91513241598248385 40.68481004767250653))",106945625,Saratoga,744.7578649
"MultiPoint ((-73.99475649999999405 40.76062239000000176),(-73.99122081783711735 40.76493461839480403))",107093211,Columbus,564.306846
"MultiPoint ((-73.89413216580388166 40.81867008718861456),(-73.89227366999999447 40.82015207999999973))",107315074,Hunts Point,227.3073186
"MultiPoint ((-73.92098527999999646 40.61071712999999761),(-73.91702120710569091 40.61986842104018791))",107508544,Mill Basin,1070.152707
"MultiPoint ((-73.97839973000000668 40.78615478999999766),(-73.97745211592564374 40.78483463670837494))",107551123,St. Agnes,167.0031478
"MultiPoint ((-73.95197616000000096 40.6924354699999995),(-73.95128349802153878 40.69162308733464783))",107588663,Marcy,107.5466983
"MultiPoint ((-73.98561795000000529 40.75461336000000045),(-73.98223080385784556 40.75320442290988154))",107652867,Stephen A. Schwarzman Building,326.0313152
"MultiPoint ((-73.87672655000000077 40.82628741999999988),(-73.87502060024047523 40.82999287527916721))",107897593,Clason's Point,435.9293809
"MultiPoint ((-73.91758393603561217 40.82658455897066574),(-73.91674854999999411 40.82252456999999879))",107939270,Melrose,456.3380935
"MultiPoint ((-73.94223578999999802 40.70127189000000101),(-73.9396184213572667 40.70455906393867451))",108047294,Bushwick,426.8244528
"MultiPoint ((-73.86620349000000374 40.82145596000000154),(-73.86288995608042285 40.81870935224862507))",108426617,Soundview,413.7339139
"MultiPoint ((-73.94112492296973471 40.59486151512161456),(-73.94048972000000219 40.59275319999999709))",108600116,Kings Bay,240.2153133
"MultiPoint ((-73.99335691118673708 40.74046545561088095),(-73.99035569999999495 40.73943264999999769))",108938424,Andrew Heiskell Braille and Talking Book,278.2357116
"MultiPoint ((-73.99596856906980236 40.74448733065494821),(-73.99133946000000606 40.75002196999999882))",108973247,Muhlenberg,728.4222251
"MultiPoint ((-74.00841124999999465 40.61074947000000179),(-74.00337654508531671 40.60800934995232581))",108995794,"New Utrecht <br> (Temporary Closed, will reopen later this Summer (2016).",523.5804194
"MultiPoint ((-73.94688582000000565 40.80837413999999796),(-73.94331559838256851 40.80616044207548043))",109082937,Harlem,388.8283094
"MultiPoint ((-73.95206016999999576 40.77119076999999692),(-73.95134169404904867 40.77065254346264567))",109122047,Webster,85.157552
"MultiPoint ((-73.82931594567217815 40.87075330808789175),(-73.82408320999999773 40.87864856000000202))",109325918,Baychester,981.4797464
"MultiPoint ((-73.99134798814833403 40.69568255523744682),(-73.98627328999999975 40.69220313000000289))",109360223,Brooklyn Heights,577.2976046
"MultiPoint ((-73.94803241890191714 40.82567237379983993),(-73.94475961000000552 40.82403999999999655))",109564439,Hamilton Grange,330.2793507
