wkt_geom_SBWY,CMPLNT_NUM,SBWY_ID,DIST_ENTR
"MultiPoint ((-73.90590391000000636 40.87741309999999828),(-73.90502400016787021 40.87877500095251548))",100470547,204,168.4480312
"MultiPoint ((-74.03086000003828815 40.61589300069584851),(-74.03085910000000069 40.61612817000000319))",100471377,1618,26.1148376
"MultiPoint ((-74.00037222999999642 40.57916262999999901),(-73.98373500008773362 40.58802200105679958))",100492832,49,1718.099303
"MultiPoint ((-73.97205300014681484 40.79461100095195292),(-73.97164315999999928 40.79504076999999995))",100611672,1458,58.94176491
"MultiPoint ((-73.86771751000000563 40.85409235000000194),(-73.86754399949008132 40.85633800085417988))",100632500,1730,249.8108006
"MultiPoint ((-73.94721299966715833 40.81835400106518819),(-73.94330463000000009 40.81847300999999817))",100662098,367,329.9969619
"MultiPoint ((-73.90324800020599127 40.74553100083454638),(-73.90108752999999808 40.74113349999999656))",100922220,1802,521.3165365
"MultiPoint ((-73.95684095999999386 40.58620042999999811),(-73.95437100041162637 40.58573400104336315))",101002642,283,215.4247281
"MultiPoint ((-73.81637200045567226 40.70126300059950353),(-73.81403102999999533 40.69222113000000007))",101362728,162,1023.390757
"MultiPoint ((-73.84672599988554964 40.83661300101309877),(-73.84042311000000325 40.82804069000000169))",101535508,628,1090.35166
"MultiPoint ((-73.9505540000777728 40.70549000069345169),(-73.95046881000000383 40.70702876000000003))",101617683,179,171.0280922
"MultiPoint ((-73.99532908999999847 40.72851158000000282),(-73.99326199971199003 40.72977800128004588))",101624453,1340,224.2140357
"MultiPoint ((-73.98886299971159985 40.72320000128046047),(-73.98460029999999676 40.72252157999999866))",101630823,1025,367.9365921
"MultiPoint ((-74.12595813000000078 40.63386604000000091),(-74.07501783783364147 40.63763225681888258))",101673696,1484,4329.62541
"MultiPoint ((-73.99909950999999353 40.72403496999999817),(-73.9979569995641242 40.72426000065273399))",101834260,1873,99.7072565
"MultiPoint ((-73.87034581000000344 40.87432103999999811),(-73.86728299943848697 40.87163100108089253))",102536763,1726,394.8421635
"MultiPoint ((-73.97743058999999732 40.75823237000000177),(-73.97614600044387601 40.76042200127613313))",102827203,880,266.254255
"MultiPoint ((-73.98631099958254254 40.75647600090296407),(-73.98628528000000415 40.75664455999999802))",102879382,1333,18.84393168
"MultiPoint ((-73.99033113000000128 40.73464580000000268),(-73.9903109997537598 40.73449500052942085))",102886649,1279,16.83220921
"MultiPoint ((-73.98034100034205096 40.76536500065751056),(-73.98028372000000275 40.76519082000000083))",102905346,1550,19.93811641
"MultiPoint ((-73.82699100035131323 40.85304100052418619),(-73.82158284999999864 40.86846737999999846))",102959716,618,1772.761821
"MultiPoint ((-73.94772938539092877 40.78292438898596117),(-73.94640047000000038 40.78307848000000035))",102984728,1931,113.4720927
"MultiPoint ((-74.00043438999999523 40.72633233999999902),(-73.9979569995641242 40.72426000065273399))",103023731,1873,311.072233
"MultiPoint ((-73.99999062000000549 40.72361776999999705),(-73.9979569995641242 40.72426000065273399))",103186821,1873,186.0251677
"MultiPoint ((-73.9211522599999995 40.81698057999999918),(-73.91806399995068944 40.8160330007226122))",103238969,1314,280.9977779
"MultiPoint ((-73.90504715000000147 40.71518240000000333),(-73.90224300008379998 40.7047290006551421))",103263613,115,1184.770485
"MultiPoint ((-73.91550417999999922 40.80091171000000116),(-73.91393300000750344 40.80517100105215889))",103774260,1222,491.2255857
"MultiPoint ((-73.91077299978465476 40.67851300097214562),(-73.90961260000000266 40.6789441399999987))",103838800,434,109.1622597
"MultiPoint ((-73.98724823000000583 40.76072884999999957),(-73.9868050001020805 40.76169100066611861))",104266246,750,113.2111643
"MultiPoint ((-73.89738200032911664 40.74933000093470525),(-73.89636256999999375 40.75349993999999754))",104361827,863,471.002872
"MultiPoint ((-74.01328400009586517 40.70401500084530966),(-74.01311522000000309 40.703596730000001))",104617200,1887,48.58899943
"MultiPoint ((-74.16893609999999626 40.58230198999999772),(-74.150640017050506 40.55159994386354327))",104777868,1485,3744.871639
"MultiPoint ((-73.92402800004501273 40.82757200132716946),(-73.91940255000000093 40.82386861999999894))",104876558,464,566.9058431
"MultiPoint ((-73.98718099989490327 40.71841000115623643),(-73.98128377000000455 40.71351279000000289))",104893682,108,737.5904995
"MultiPoint ((-73.88560572000000093 40.8465525499999984),(-73.87939700013238564 40.84107800066419003))",104960321,1742,802.3512817
"MultiPoint ((-73.83401936999999293 40.75737941999999947),(-73.83033299958195528 40.75940400122517815))",105179303,1777,383.9856576
"MultiPoint ((-73.824314000585602 40.68610300097643062),(-73.8214004799999941 40.68731964999999917))",105228155,908,280.9106456
"MultiPoint ((-73.98240800017022423 40.76766700095349449),(-73.98236233999999456 40.76795511000000261))",105364507,736,32.22576011
"MultiPoint ((-73.97918100006150155 40.66599300074870627),(-73.97889575000000661 40.66814681999999692))",105366110,1040,240.3893166
"MultiPoint ((-73.91745600003321215 40.81626500069561558),(-73.91425316000000123 40.81874051999999864))",105609170,1762,385.4729007
"MultiPoint ((-73.92297000044142408 40.66516000076095594),(-73.92235870000000375 40.6685342700000021))",105659026,587,378.2525576
"MultiPoint ((-73.96151600032330009 40.65522100133300398),(-73.96019024000000286 40.65700628999999822))",105793279,1623,227.7601896
"MultiPoint ((-73.95871388000000479 40.71891957999999789),(-73.95769499981996375 40.7177140006752083))",105879583,129,159.1675855
"MultiPoint ((-73.93945500009073157 40.84192800057144979),(-73.93921788999999478 40.84283849999999916))",105931557,359,103.0701475
"MultiPoint ((-73.91775500058008674 40.77017000122830126),(-73.91434800999999766 40.76469405999999651))",105977182,1531,672.7034491
"MultiPoint ((-73.9151790500000061 40.84064129000000065),(-73.91333299949421587 40.84009700063030834))",106019688,968,167.0132478
"MultiPoint ((-73.91745600003321215 40.81626500069561558),(-73.91425316000000123 40.81874051999999864))",106134411,1762,385.4729007
"MultiPoint ((-73.91173557000000471 40.70933313999999825),(-73.90789399983775354 40.70283500071398208))",106161765,118,791.2707295
"MultiPoint ((-73.86295314000000189 40.74885110999999682),(-73.86253700028535718 40.74977500127436514))",106215785,1787,108.4496234
"MultiPoint ((-74.00945700056986709 40.64926500121697472),(-74.0078244900000044 40.64406576999999743))",106325377,1601,593.6419097
"MultiPoint ((-73.84690723999999307 40.68124653999999651),(-73.84515899966665131 40.68030500117071568))",106421119,903,181.0401377
"MultiPoint ((-73.99866747999999461 40.67896865000000162),(-73.99569800002326758 40.67929900047340652))",106909331,1032,253.7115642
"MultiPoint ((-73.92306200057190324 40.69014200099830703),(-73.92168907999999306 40.68928980999999823))",106945625,92,149.7445047
"MultiPoint ((-73.99475649999999405 40.76062239000000176),(-73.98998399962617611 40.75746300098471409))",107093211,1354,534.3203982
"MultiPoint ((-73.89227366999999447 40.82015207999999973),(-73.89151900041572674 40.82061400058817924))",107315074,1215,81.76019489
"MultiPoint ((-73.94766499945733074 40.63184500126443055),(-73.92098527999999646 40.61071712999999761))",107508544,1212,3255.897456
"MultiPoint ((-73.97966200019949667 40.78398500069541655),(-73.97839973000000668 40.78615478999999766))",107551123,1136,263.4597975
"MultiPoint ((-73.95197616000000096 40.6924354699999995),(-73.95161600010411007 40.68999500055365814))",107588663,184,272.7136269
"MultiPoint ((-73.98561795000000529 40.75461336000000045),(-73.98462699975510759 40.75484900054063786))",107652867,1006,87.67803514
"MultiPoint ((-73.87901800017237974 40.82868800100101936),(-73.87672655000000077 40.82628741999999988))",107897593,637,329.2876726
"MultiPoint ((-73.91754299959281127 40.81631500091885556),(-73.91674854999999411 40.82252456999999879))",107939270,1760,692.8247543
"MultiPoint ((-73.94223578999999802 40.70127189000000101),(-73.94217300005141169 40.70063400114797503))",108047294,99,71.03485901
"MultiPoint ((-73.86740999955235054 40.83146600064389986),(-73.86620349000000374 40.82145596000000154))",108426617,633,1116.26994
"MultiPoint ((-73.95422399993600493 40.58730200083184059),(-73.94048972000000219 40.59275319999999709))",108600116,4,1310.809769
"MultiPoint ((-73.99035569999999495 40.73943264999999769),(-73.98963200000549989 40.74075800113276102))",108938424,1865,159.3678843
"MultiPoint ((-73.99133946000000606 40.75002196999999882),(-73.99113000035293908 40.7496560012186464))",108973247,1150,44.32340535
"MultiPoint ((-74.00841124999999465 40.61074947000000179),(-74.00189400049318067 40.60772300097482201))",108995794,35,645.8809641
"MultiPoint ((-73.94688582000000565 40.80837413999999796),(-73.94575199990310921 40.80768100084603134))",109082937,1768,122.7913125
"MultiPoint ((-73.95281423699555035 40.77618770946791926),(-73.95206016999999576 40.77119076999999692))",109122047,1928,558.5474751
"MultiPoint ((-73.83119500057740936 40.88798000090471163),(-73.82408320999999773 40.87864856000000202))",109325918,1430,1197.141113
"MultiPoint ((-73.98627328999999975 40.69220313000000289),(-73.9861140005658342 40.69225800046343977))",109360223,1579,14.77859254
"MultiPoint ((-73.94475961000000552 40.82403999999999655),(-73.94472600013570229 40.82379100110195935))",109564439,712,27.79643363
"MultiPoint ((-73.99790276999999605 40.69123228000000125),(-73.992829999905112 40.694475001199649))",109877906,1892,559.9259395
"MultiPoint ((-73.78211900038030535 40.71320700095642309),(-73.73404245999999773 40.75894313999999952))",110063365,1522,6502.888106
"MultiPoint ((-73.92602282999999375 40.64749793000000011),(-73.91554299976134246 40.66140100071618235))",110103132,590,1780.215499
"MultiPoint ((-74.01996307000000286 40.63946952999999951),(-74.0188569996070953 40.64068200077466031))",110111312,1903,163.9586482
"MultiPoint ((-74.00468069999999443 40.72390862000000311),(-74.00432599999250272 40.72559500081655415))",110172415,406,189.6526493
"MultiPoint ((-73.94423500040841191 40.7948110012003724),(-73.93796733000000643 40.79251064999999699))",110241433,1240,587.4255432
"MultiPoint ((-73.98584805999999503 40.69086638000000278),(-73.98544800048132686 40.69097200083987786))",110690406,1196,35.79216188
"MultiPoint ((-73.98147529000000588 40.7512504600000014),(-73.98112999996736505 40.75340900119234533))",110693778,1831,241.4711919
"MultiPoint ((-73.99829859999999826 40.72363697000000116),(-73.9979569995641242 40.72426000065273399))",110769947,1873,74.96469527
"MultiPoint ((-73.92144200048576863 40.67898400118948388),(-73.92034938999999838 40.67880660000000148))",110781996,809,94.4490055
"MultiPoint ((-73.86144430000000227 40.88605248999999731),(-73.86066599999701054 40.88770900105032524))",110867209,1719,195.303095
"MultiPoint ((-73.98483595000000435 40.76502408000000344),(-73.98330099978275598 40.76641600095896933))",110991412,742,201.7139706
"MultiPoint ((-73.98287099993260085 40.75417500097466927),(-73.98250314999999944 40.75417103000000196))",111181455,1363,31.06695367
"MultiPoint ((-73.8718010001730363 40.67530100106055357),(-73.86886990000000708 40.66194217999999694))",111299294,893,1504.024367
"MultiPoint ((-74.12550509000000432 40.63627370999999755),(-74.07501783783364147 40.63763225681888258))",111517314,1484,4273.63968
"MultiPoint ((-73.86024800048996042 40.85454400085473736),(-73.85304777999999715 40.84955681000000283))",111616066,1434,821.7999364
"MultiPoint ((-73.98201499997325925 40.7736820012600063),(-73.98043241000000592 40.77517345999999776))",111797846,1140,212.7957984
