wkt_geom_WIFI,CMPLNT_NUM,WIFI_ID,DIST_WIFI
"MultiPoint ((-73.94405999987588984 40.65831000005427853),(-73.93907808000000159 40.65609950999999711))",149529155,1,487.611061
"MultiPoint ((-73.94405999987588984 40.65831000005427853),(-73.93834696000000406 40.65945323999999772))",169571623,1,499.5386239
"MultiPoint ((-73.94405999987588984 40.65831000005427853),(-73.94276234000000159 40.66346015999999963))",229622143,1,582.344441
"MultiPoint ((-73.94405999987588984 40.65831000005427853),(-73.93726359000000059 40.66167867000000058))",587628459,1,685.7620899
"MultiPoint ((-73.94526028999999312 40.65901757000000316),(-73.94405999987588984 40.65831000005427853))",602242780,1,128.3637896
"MultiPoint ((-73.94716000020579827 40.65743000036481192),(-73.94525939000000392 40.65571833999999996))",220968432,4,248.9265496
"MultiPoint ((-73.94716000020579827 40.65743000036481192),(-73.94525939000000392 40.65571833999999996))",294452964,4,248.9265496
"MultiPoint ((-73.94716000020579827 40.65743000036481192),(-73.94709804999999392 40.6549753700000025))",337952715,4,272.6303431
"MultiPoint ((-73.94716000020579827 40.65743000036481192),(-73.94709804999999392 40.6549753700000025))",626450389,4,272.6303431
"MultiPoint ((-73.94716000020579827 40.65743000036481192),(-73.94709804999999392 40.6549753700000025))",728608975,4,272.6303431
"MultiPoint ((-73.94716000020579827 40.65743000036481192),(-73.94525939000000392 40.65571833999999996))",773493209,4,248.9265496
"MultiPoint ((-73.94716000020579827 40.65743000036481192),(-73.94525939000000392 40.65571833999999996))",220968432,5,248.9265496
"MultiPoint ((-73.94716000020579827 40.65743000036481192),(-73.94525939000000392 40.65571833999999996))",294452964,5,248.9265496
"MultiPoint ((-73.94716000020579827 40.65743000036481192),(-73.94709804999999392 40.6549753700000025))",337952715,5,272.6303431
"MultiPoint ((-73.94716000020579827 40.65743000036481192),(-73.94709804999999392 40.6549753700000025))",626450389,5,272.6303431
"MultiPoint ((-73.94716000020579827 40.65743000036481192),(-73.94709804999999392 40.6549753700000025))",728608975,5,272.6303431
"MultiPoint ((-73.94716000020579827 40.65743000036481192),(-73.94525939000000392 40.65571833999999996))",773493209,5,248.9265496
"MultiPoint ((-73.82922456000000011 40.85503537999999679),(-73.82177700046449331 40.85023199980674491))",356660968,13,823.9633025
"MultiPoint ((-73.8964697899999976 40.86333845000000053),(-73.8951149995679657 40.86445800040417708))",210555714,15,168.8296949
"MultiPoint ((-73.8964697899999976 40.86333845000000053),(-73.8951149995679657 40.86445800040417708))",230102288,15,168.8296949
"MultiPoint ((-73.8964697899999976 40.86333845000000053),(-73.8951149995679657 40.86445800040417708))",302486365,15,168.8296949
"MultiPoint ((-73.8964697899999976 40.86333845000000053),(-73.8951149995679657 40.86445800040417708))",369301586,15,168.8296949
"MultiPoint ((-73.8964697899999976 40.86333845000000053),(-73.8951149995679657 40.86445800040417708))",445408415,15,168.8296949
"MultiPoint ((-73.8964697899999976 40.86333845000000053),(-73.8951149995679657 40.86445800040417708))",581328295,15,168.8296949
"MultiPoint ((-73.8964697899999976 40.86333845000000053),(-73.8951149995679657 40.86445800040417708))",880663202,15,168.8296949
"MultiPoint ((-73.8964697899999976 40.86333845000000053),(-73.8951149995679657 40.86445800040417708))",924893605,15,168.8296949
"MultiPoint ((-73.8964697899999976 40.86333845000000053),(-73.8951149995679657 40.86445800040417708))",987461317,15,168.8296949
"MultiPoint ((-73.89422700053462734 40.86516700012433745),(-73.89345131999999694 40.86539696999999904))",752700725,17,70.20457719
"MultiPoint ((-73.96981787999999369 40.6468013699999986),(-73.96845999945837491 40.65068000002785453))",574395568,19,445.760265
"MultiPoint ((-73.97080549999999732 40.64625267000000264),(-73.96845999945837491 40.65068000002785453))",610893833,19,530.1587038
"MultiPoint ((-73.96584300008548496 40.65069999960848435),(-73.96263077000000408 40.64962365000000233))",234008464,21,296.8153678
"MultiPoint ((-73.96584300008548496 40.65069999960848435),(-73.96263077000000408 40.64962365000000233))",519138121,21,296.8153678
"MultiPoint ((-73.96584300008548496 40.65069999960848435),(-73.96444381999999962 40.64891057999999902))",647266589,21,231.2796217
"MultiPoint ((-73.8597999999835082 40.84459000042316035),(-73.85883585000000551 40.84560891000000282))",539733916,32,139.3348238
"MultiPoint ((-73.86319371999999817 40.83908448999999763),(-73.8597999999835082 40.84459000042316035))",562816004,32,675.0684669
"MultiPoint ((-73.86470137000000591 40.83877886999999873),(-73.8597999999835082 40.84459000042316035))",614052664,32,766.3686253
"MultiPoint ((-73.8597999999835082 40.84459000042316035),(-73.85863245000000177 40.83927386999999953))",695906117,32,598.5160982
"MultiPoint ((-73.8665307600000034 40.83842417999999697),(-73.8597999999835082 40.84459000042316035))",758763497,32,889.4184824
"MultiPoint ((-73.86319228000000692 40.84505699000000334),(-73.8597999999835082 40.84459000042316035))",810960549,32,290.7409304
"MultiPoint ((-73.8597999999835082 40.84459000042316035),(-73.85585066999999526 40.8421468900000022))",954273998,32,429.5809799
"MultiPoint ((-73.8597999999835082 40.84459000042316035),(-73.85865579999999397 40.84529580000000237))",988413752,32,124.3150095
"MultiPoint ((-73.8597999999835082 40.84459000042316035),(-73.85883585000000551 40.84560891000000282))",539733916,33,139.3348238
"MultiPoint ((-73.86319371999999817 40.83908448999999763),(-73.8597999999835082 40.84459000042316035))",562816004,33,675.0684669
"MultiPoint ((-73.86470137000000591 40.83877886999999873),(-73.8597999999835082 40.84459000042316035))",614052664,33,766.3686253
"MultiPoint ((-73.8597999999835082 40.84459000042316035),(-73.85863245000000177 40.83927386999999953))",695906117,33,598.5160982
"MultiPoint ((-73.8665307600000034 40.83842417999999697),(-73.8597999999835082 40.84459000042316035))",758763497,33,889.4184824
"MultiPoint ((-73.86319228000000692 40.84505699000000334),(-73.8597999999835082 40.84459000042316035))",810960549,33,290.7409304
"MultiPoint ((-73.8597999999835082 40.84459000042316035),(-73.85585066999999526 40.8421468900000022))",954273998,33,429.5809799
"MultiPoint ((-73.8597999999835082 40.84459000042316035),(-73.85865579999999397 40.84529580000000237))",988413752,33,124.3150095
"MultiPoint ((-73.91910769999999786 40.68893668999999846),(-73.91893299965967401 40.68504299988159545))",718840002,34,432.6380817
"MultiPoint ((-73.92168907999999306 40.68928980999999823),(-73.91907000002335337 40.68503200018041355))",106945625,35,522.0874609
"MultiPoint ((-73.92008436000000415 40.68335998999999958),(-73.91907000002335337 40.68503200018041355))",338932189,35,204.5175988
"MultiPoint ((-73.92168907999999306 40.68928980999999823),(-73.91907000002335337 40.68503200018041355))",446047488,35,522.0874609
"MultiPoint ((-73.92250828999999612 40.68870298000000219),(-73.91907000002335337 40.68503200018041355))",554833304,35,500.6567507
"MultiPoint ((-73.92532925999999804 40.68763163999999932),(-73.91907000002335337 40.68503200018041355))",569534035,35,602.7427968
"MultiPoint ((-73.92207104999999956 40.68949866999999898),(-73.91907000002335337 40.68503200018041355))",692584261,35,557.1224225
"MultiPoint ((-73.92207104999999956 40.68949866999999898),(-73.91907000002335337 40.68503200018041355))",803552172,35,557.1224225
"MultiPoint ((-73.92193478999999456 40.68577118000000326),(-73.91907000002335337 40.68503200018041355))",840430221,35,255.7051533
"MultiPoint ((-73.83595100023455871 40.88763700017765501),(-73.83294438999999443 40.89096344000000016))",650057880,36,447.9567358
"MultiPoint ((-73.84081301000000508 40.88557850000000116),(-73.83852100036338584 40.88528400026051202))",762381744,38,195.9211292
"MultiPoint ((-73.83497000057950288 40.88662199977617462),(-73.82259195000000318 40.88595265000000012))",793950035,39,1045.862213
"MultiPoint ((-73.83497000057950288 40.88662199977617462),(-73.83345090999999627 40.8836797599999997))",844503779,39,350.9292045
"MultiPoint ((-73.83497000057950288 40.88662199977617462),(-73.83125422999999898 40.88569666000000069))",935172534,39,329.5931212
"MultiPoint ((-73.83497000057950288 40.88662199977617462),(-73.82734944999999982 40.88528192999999789))",946820739,39,659.2759874
"MultiPoint ((-73.89957690999999329 40.86469432999999896),(-73.89903700003245035 40.86472999974724019))",406178596,40,45.69021328
"MultiPoint ((-73.89957690999999329 40.86469432999999896),(-73.89903700003245035 40.86472999974724019))",755587116,40,45.69021328
"MultiPoint ((-73.89957690999999329 40.86469432999999896),(-73.89903700003245035 40.86472999974724019))",770229717,40,45.69021328
"MultiPoint ((-73.89957690999999329 40.86469432999999896),(-73.89903700003245035 40.86472999974724019))",800727642,40,45.69021328
"MultiPoint ((-73.89957690999999329 40.86469432999999896),(-73.89903700003245035 40.86472999974724019))",406178596,41,45.69021328
"MultiPoint ((-73.89957690999999329 40.86469432999999896),(-73.89903700003245035 40.86472999974724019))",755587116,41,45.69021328
"MultiPoint ((-73.89957690999999329 40.86469432999999896),(-73.89903700003245035 40.86472999974724019))",770229717,41,45.69021328
"MultiPoint ((-73.89957690999999329 40.86469432999999896),(-73.89903700003245035 40.86472999974724019))",800727642,41,45.69021328
"MultiPoint ((-73.93469799983944313 40.67401299956333105),(-73.9345382199999932 40.67682832999999931))",218417324,42,312.927518
"MultiPoint ((-73.9375390699999997 40.67541917999999868),(-73.93505300025877602 40.67403999984267671))",865214634,43,260.0702595
"MultiPoint ((-73.93849437999999452 40.67547459000000032),(-73.93516600015271933 40.67380100018960576))",220833631,44,337.2374381
"MultiPoint ((-73.93886969999999792 40.67505484000000138),(-73.93516600015271933 40.67380100018960576))",558307126,44,342.6997832
"MultiPoint ((-73.93640691999999603 40.6717817299999993),(-73.93516600015271933 40.67380100018960576))",735568812,44,247.5671677
"MultiPoint ((-73.93771099999999308 40.67275683999999814),(-73.93516600015271933 40.67380100018960576))",777949802,44,244.430492
"MultiPoint ((-73.93502270000000465 40.67170958999999897),(-73.93462999979924177 40.67342999977493179))",247890107,45,193.9111141
"MultiPoint ((-73.93462999979924177 40.67342999977493179),(-73.93065866000000597 40.67371073000000337))",419144031,45,337.21649
"MultiPoint ((-73.9351100899999949 40.67081758999999863),(-73.93462999979924177 40.67342999977493179))",924814629,45,292.9278868
"MultiPoint ((-73.93462999979924177 40.67342999977493179),(-73.92931453999999292 40.67318841000000162))",932012643,45,450.2180755
"MultiPoint ((-73.91413799989589961 40.81154399995916293),(-73.91395502000000306 40.8146122300000016))",268676343,52,341.0774367
"MultiPoint ((-73.91413799989589961 40.81154399995916293),(-73.91395502000000306 40.8146122300000016))",605172583,52,341.0774367
"MultiPoint ((-73.91413799989589961 40.81154399995916293),(-73.91395502000000306 40.8146122300000016))",674063317,52,341.0774367
"MultiPoint ((-73.98279048000000557 40.71774270000000229),(-73.98146600018569075 40.71978900037834848))",375696402,53,253.2995823
"MultiPoint ((-73.98279048000000557 40.71774270000000229),(-73.98146600018569075 40.71978900037834848))",961237882,53,253.2995823
"MultiPoint ((-73.87098100013841417 40.73314200006425523),(-73.87072879999999486 40.7275388300000003))",213944864,62,622.5893875
"MultiPoint ((-73.9612560002637025 40.74199399966357049),(-73.95932460999999591 40.74081197000000287))",298790554,65,209.3844098
"MultiPoint ((-73.98055012000000374 40.6935472400000009),(-73.97981320007278327 40.69413700004603385))",730709455,68,90.3815045
"MultiPoint ((-73.97541620008159668 40.69489200007969032),(-73.97528714999999977 40.69803393000000113))",338767262,71,349.0756245
"MultiPoint ((-73.97541620008159668 40.69489200007969032),(-73.97528714999999977 40.69803393000000113))",722225844,71,349.0756245
"MultiPoint ((-73.97512595000000601 40.69514090999999922),(-73.97502420032027715 40.69486799986128034))",325718327,72,31.50274077
"MultiPoint ((-73.97319309983241453 40.69344179970251218),(-73.97136552999999992 40.69319947999999698))",577165765,82,156.7996727
"MultiPoint ((-73.97319309983241453 40.69344179970251218),(-73.97136552999999992 40.69319947999999698))",715625532,82,156.7996727
"MultiPoint ((-73.97319309983241453 40.69344179970251218),(-73.96840718999999353 40.69604503000000051))",763312248,82,497.194127
"MultiPoint ((-73.97319309983241453 40.69344179970251218),(-73.97060297000000162 40.69698706999999871))",811269249,82,450.4694287
"MultiPoint ((-73.98701500999999325 40.73496386000000058),(-73.98625934993640385 40.73476962959708203))",153932692,85,67.37735202
"MultiPoint ((-73.98760305999999787 40.7355924800000011),(-73.98625934993640385 40.73476962959708203))",348179640,85,145.7153387
"MultiPoint ((-73.98760305999999787 40.7355924800000011),(-73.98625934993640385 40.73476962959708203))",779586221,85,145.7153387
"MultiPoint ((-73.98701500999999325 40.73496386000000058),(-73.98625934993640385 40.73476962959708203))",887123350,85,67.37735202
"MultiPoint ((-73.9812360669888136 40.74998234102799444),(-73.97973261999999295 40.7493013899999994))",252203789,86,147.7824893
"MultiPoint ((-73.9812360669888136 40.74998234102799444),(-73.98090159999999571 40.75060260000000056))",775272343,86,74.44595843
"MultiPoint ((-73.9812360669888136 40.74998234102799444),(-73.97973261999999295 40.7493013899999994))",783817255,86,147.7824893
"MultiPoint ((-73.96973470999999734 40.75867250999999669),(-73.96912971957878824 40.75827504961721814))",875910146,89,67.51257588
"MultiPoint ((-73.96717705035561607 40.76020693012284823),(-73.96636275999999555 40.75976673000000261))",750484691,90,84.36439998
"MultiPoint ((-73.98388999992272375 40.73759699966694114),(-73.98327260000000649 40.73720310000000211))",972626736,91,68.06661381
"MultiPoint ((-73.98319800015509884 40.74148099957648839),(-73.98282412000000363 40.74119115999999963))",376850484,95,45.09106148
"MultiPoint ((-73.98319800015509884 40.74148099957648839),(-73.98313794000000598 40.74172642999999994))",703268672,95,27.72286124
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",110690406,96,60.99713133
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",114302672,96,60.99713133
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",176684906,96,60.99713133
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",176895184,96,60.99713133
"MultiPoint ((-73.98639971999999432 40.69108602000000019),(-73.98638427003679396 40.69123398013288551))",287756799,96,16.4824855
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",328747207,96,60.99713133
"MultiPoint ((-73.98639971999999432 40.69108602000000019),(-73.98638427003679396 40.69123398013288551))",330188172,96,16.4824855
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",437766272,96,60.99713133
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",439685554,96,60.99713133
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",440706195,96,60.99713133
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",448702924,96,60.99713133
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",476380992,96,60.99713133
"MultiPoint ((-73.98639971999999432 40.69108602000000019),(-73.98638427003679396 40.69123398013288551))",506474597,96,16.4824855
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",517011329,96,60.99713133
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",577144578,96,60.99713133
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",577563962,96,60.99713133
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",586480251,96,60.99713133
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",727887741,96,60.99713133
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",756900423,96,60.99713133
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98630224999999427 40.69162948000000313))",792492503,96,44.46327064
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",872831052,96,60.99713133
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",901243868,96,60.99713133
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",915227954,96,60.99713133
"MultiPoint ((-73.98639971999999432 40.69108602000000019),(-73.98638427003679396 40.69123398013288551))",930353743,96,16.4824855
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",954922576,96,60.99713133
"MultiPoint ((-73.98638427003679396 40.69123398013288551),(-73.98584805999999503 40.69086638000000278))",963646392,96,60.99713133
"MultiPoint ((-73.9672764299999983 40.6854251999999974),(-73.96709299991024977 40.68359099979222293))",789746206,98,204.2733117
"MultiPoint ((-73.97332000042221978 40.6857869995746384),(-73.97317191999999864 40.68487776999999994))",150940731,99,101.7409827
"MultiPoint ((-73.97332000042221978 40.6857869995746384),(-73.97277126999999552 40.68591519999999662))",880551103,99,48.52153474
"MultiPoint ((-73.96164820032170439 40.68219957027557854),(-73.9600046500000019 40.68401758000000257))",166960729,101,245.0763597
