PRECINCT_ID,NUM_LIBRARY
1,2
25,1
34,2
41,1
43,4
14,3
28,2
45,5
47,4
50,5
60,3
63,3
69,2
72,2
75,4
90,3
94,1
100,3
101,3
104,4
105,6
106,4
108,3
109,8
110,2
111,5
71,2
113,3
9,2
5,2
6,2
7,2
10,1
13,2
17,2
30,1
18,4
19,4
20,3
22,0
23,1
24,1
79,2
26,2
32,3
73,3
33,1
40,2
42,1
48,3
44,3
46,2
49,3
67,3
52,2
62,2
66,3
68,4
70,4
76,2
77,1
78,3
81,1
83,2
84,1
88,2
102,2
103,3
107,6
112,3
114,7
115,4
120,3
121,3
122,5
123,2
61,6
