CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,OFNS_DESC,PD_DESC,PRECINCT_ID,NUM_LRCNY,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,LATITUDE_CRIME,LONGITUDE_CRIME,DIST_ENTR,SBWY_ENTR_ID,LAT_SBWY,LONG_SBWY,SBWY_LINE,DIST_SHLTR,BUS_SHLTR_ID,LAT_BUS,LONG_BUS,WIFI_ID,DIST_WIFI,LAT_WIFI,LONG_WIFI,MUNIMETER_ID,DIST_MUNI,LIBRARY,DIST_LIB
101834260,4/24/2017,19:40:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,CLOTHING/BOUTIQUE,40.72403497,-73.99909951,99.7072565,1873,40.72426,-73.997957,N-R,251.1505355,MN0025,40.706812,-73.947831,2249,122.5002061,40.745968,-73.994039,1473096,86.3146834,Mulberry Street,288.7776624
103023731,4/25/2017,10:00:00,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",1,157,INSIDE,RESIDENCE - APT. HOUSE,40.72633234,-74.00043439,311.072233,1873,40.72426,-73.997957,N-R,70.09134197,MN01145,40.706812,-73.947831,2261,279.4259337,40.745968,-73.994039,1143028,144.1251399,Mulberry Street,469.4305569
103186821,4/14/2017,17:15:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,COMMERCIAL BUILDING,40.72361777,-73.99999062,186.0251677,1873,40.72426,-73.997957,N-R,337.7274943,MN01145,40.706812,-73.947831,2249,208.8635142,40.745968,-73.994039,1473097,70.63343391,Mulberry Street,368.4119985
104617200,4/5/2017,17:00:00,PETIT LARCENY,"LARCENY,PETIT BY FALSE PROMISE",1,157,NA,STREET,40.70359673,-74.01311522,48.58899943,1887,40.704015,-74.013284,R-1,189.3394039,MN0003,40.706812,-73.947831,2350,57.52416176,40.745968,-73.994039,1483068,16.39954917,New Amsterdam,1193.649692
110172415,4/2/2017,17:40:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,RESTAURANT/DINER,40.72390862,-74.0046807,189.6526493,406,40.725595,-74.004326,C-E,169.83934,MN01166,40.706812,-73.947831,2266,178.6176343,40.745968,-73.994039,1323001,84.21795263,Hudson Park,676.7757482
110769947,4/30/2017,16:30:00,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",1,157,INSIDE,CHAIN STORE,40.72363697,-73.9982986,74.96469527,1873,40.72426,-73.997957,N-R,274.1683963,MN0025,40.706812,-73.947831,2249,91.90379368,40.745968,-73.994039,1473040,12.52724684,Mulberry Street,227.8151911
121876485,4/20/2017,17:27:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DEPARTMENT STORE,40.71009385,-74.01060963,54.05946938,1880,40.710435,-74.011066,R,269.6365953,MN01276,40.706812,-73.947831,2201,74.89400614,40.745968,-73.994039,1483037,128.1165718,New Amsterdam,450.8026878
148302956,4/24/2017,12:00:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DRUG STORE,40.71280318,-74.0074466,28.82594937,1634,40.712712,-74.007766,A-C-E-1-2-3,139.3670319,MN0018,40.706812,-73.947831,2255,66.29591966,40.745968,-73.994039,1113045,108.8610611,New Amsterdam,93.04085389
149272703,4/27/2017,12:30:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,CHAIN STORE,40.71009385,-74.01060963,54.05946938,1880,40.710435,-74.011066,R,269.6365953,MN01276,40.706812,-73.947831,2201,74.89400614,40.745968,-73.994039,1483037,128.1165718,New Amsterdam,450.8026878
149512981,4/29/2017,16:50:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DEPARTMENT STORE,40.72398831,-74.00074825,237.7410293,1873,40.72426,-73.997957,N-R,308.3150796,MN01145,40.706812,-73.947831,2249,260.1282292,40.745968,-73.994039,1473097,146.6101698,Mulberry Street,428.167638
160303165,4/25/2017,4:00:00,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",1,157,INSIDE,FAST FOOD,40.70948728,-74.01026687,103.7004113,1290,40.710166,-74.009424,A-C-J-Z-2-3-4-5,243.2164483,MN01276,40.706812,-73.947831,1780,34.31994852,40.745968,-73.994039,1483037,55.09494623,New Amsterdam,497.2842912
181484480,4/9/2017,14:50:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DRUG STORE,40.70732447,-74.00960288,80.0288388,1399,40.708027,-74.009814,J-Z,269.0815734,MN01276,40.706812,-73.947831,2271,70.22706092,40.745968,-73.994039,1483041,16.79579912,New Amsterdam,709.6035138
