PRECINCT_ID,PRECINCT_AREA,PRECINCT_POP,PRECINCT_POPDENSITY,LARCENIES_PRECINCT,NUM_SBWYS,NUM_BUS,NUM_WIFI,NUM_MUNIMETER,NUM_LIBRARY
1,47301761.24,66679,7.442960067,157,134,30,77,254,2
5,18088797.95,59125,17.25819487,56,35,12,38,217,2
6,22131930.52,61842,14.75360496,74,32,14,34,241,2
7,18364020.92,49796,14.31728275,38,10,28,15,128,2
9,21394233.74,76827,18.96055568,72,23,32,59,197,2
10,27228634.24,49279,9.555863791,52,30,20,80,126,1
13,29508893.74,89370,15.99089428,162,63,55,121,642,2
14,20510163.83,21449,5.521687732,257,98,24,98,525,3
17,22269687.05,73334,17.38702116,53,15,41,108,329,2
18,32280333.9,67784,11.08723104,175,85,38,115,572,4
19,48744673.59,208259,22.55851643,134,52,65,93,455,4
20,27671000.15,99071,18.90408287,84,28,57,78,220,3
22,38301388.66,25,0.00344635,10,5,0,11,17,0
23,21467730.83,65378,16.07975443,57,8,38,34,84,1
24,25479873.37,106460,22.06089457,109,23,48,80,125,1
25,44793124.96,55133,6.49881517,56,9,28,61,57,1
26,23836014.45,50371,11.15785865,49,16,36,28,59,2
28,15289544.6,43383,14.98162607,128,18,36,85,97,2
30,18837442.23,59822,16.7676777,30,15,26,63,49,1
32,23009990.36,72340,16.59953759,65,14,43,92,43,3
33,25863124.5,77417,15.80480966,60,25,37,39,99,1
34,52113460.92,112603,11.4086424,80,34,42,27,164,2
40,60405139.9,91627,8.009095928,120,42,39,44,100,2
41,62139100.54,53400,4.537432913,47,22,24,7,31,1
42,44818131.9,79113,9.320259955,79,8,34,24,0,1
43,113325982.9,173223,8.07067732,157,9,73,4,159,4
44,55530554.21,144818,13.76969942,122,38,38,44,87,3
45,271303396.3,110345,2.147490993,74,14,59,29,228,5
46,38323373.38,132337,18.23272062,62,25,41,34,118,2
47,160530903.2,156278,5.140118342,124,19,61,16,143,4
48,43057143.45,80424,9.862213003,102,5,36,14,149,3
49,105809974.1,118886,5.932503862,66,14,72,6,192,3
50,136112621.5,105004,4.073252825,95,13,43,9,167,5
52,80116628.67,127574,8.407626871,104,31,59,38,207,2
60,88215865.74,108577,6.498678613,83,26,45,34,141,3
61,134635110.1,153872,6.034415238,74,16,89,21,515,6
62,103208535.3,181636,9.292236124,85,39,45,9,429,2
63,229414078.8,108753,2.502966875,64,0,48,9,199,3
66,99520789.11,207135,10.98939036,73,39,40,10,383,3
67,93744758.44,157613,8.877260487,71,13,37,15,163,3
68,110943389.3,123058,5.856556611,75,17,43,16,284,4
69,107413015.4,85610,4.208249795,34,5,24,3,99,2
70,82181407.82,157090,10.09273535,113,23,42,21,387,4
71,45331787.17,103151,12.01446742,73,20,44,28,116,2
72,104621257.7,120477,6.080203718,83,30,31,26,187,2
73,51771864.99,86584,8.830346755,85,22,48,21,58,3
75,183100917.8,180389,5.201797629,193,40,65,26,84,4
76,48238653.52,46385,5.077106887,36,6,19,33,68,2
77,42651832.13,82213,10.17739727,60,9,43,35,81,1
78,67677111.13,65742,5.129027439,90,34,15,69,179,3
79,44975546.93,77721,9.124222116,71,22,51,23,62,2
81,34485430.76,73859,11.30841377,48,11,38,12,26,1
83,56650181.43,114212,10.64496785,95,27,19,13,105,2
84,35462877.45,45843,6.825476594,122,56,38,151,191,1
88,42391905.89,50420,6.27991581,56,33,25,55,68,2
90,66154252.97,116734,9.316944752,83,35,34,41,140,3
94,65641894.08,56349,4.532512722,63,19,16,36,69,1
100,205185208.4,47913,1.232937998,26,21,21,25,38,3
101,84672755.28,67065,4.182020519,36,12,19,12,33,3
102,133314470.8,143047,5.665462687,83,26,71,67,236,2
103,100921595,104368,5.46030847,69,34,46,33,223,3
104,210504683.7,170331,4.272340473,98,14,59,13,272,4
105,347328139.6,187013,2.842927271,53,0,67,12,162,6
106,172508228.2,123402,3.776994099,59,25,39,4,294,4
107,207501246.6,154017,3.919059636,63,17,119,14,230,6
108,139593004.8,118032,4.464471274,63,57,63,58,413,3
109,322684228.2,248328,4.063327939,135,10,126,32,419,8
110,112103693.3,156195,7.356667526,112,31,44,50,271,2
111,260157263.1,116852,2.371560004,30,0,48,5,207,5
112,88945075.95,111988,6.647885042,65,22,51,38,374,3
113,389637204.2,118826,1.61021913,47,0,62,42,21,3
114,180006200.2,202758,5.94736314,126,44,109,76,535,7
115,113293878.5,183339,8.544415045,97,13,43,25,306,4
120,232535325.6,113319,2.573046992,69,6,68,31,186,3
121,475716087.7,120145,1.33349621,84,0,42,7,32,3
122,454799251.5,138077,1.603007388,54,23,80,50,107,5
123,460870016.2,97189,1.113454775,24,19,26,7,11,2
