PRECINCT_ID,PRECINCT_AREA,PRECINCT_POP,PRECINCT_POPDENSITY,LARCENIES_PRECINCT,NUM_SBWYS,NUM_BUS,NUM_WIFI,NUM_MUNIMETER,NUM_LIBRARY,DIST_ENTR_MEAN,DIST_SHLTR_MEAN,DIST_WIFI_MEAN,DIST_MUNI_MEAN,DIST_LIB_MEAN,DIST_ENTR_MEDIAN,DIST_SHLTR_MEDIAN,DIST_WIFI_MEDIAN,DIST_MUNI_MEDIAN,DIST_LIB_MEDIAN
1,47301761.24,66679,39298.84607,157,134,30,77,254,2,120.7888629,212.6874555,116.896332,93.83696703,536.8043744,75.62484628,207.60575,82.97471898,108.8610611,450.8026878
5,18088797.95,59125,91123.30814,56,35,12,38,217,2,156.6558642,213.1648427,111.8054775,52.37682184,382.1448488,123.0233919,190.2127934,96.72344528,26.19040283,374.7829211
6,22131930.52,61842,77899.06774,74,32,14,34,241,2,140.2496165,194.1250655,118.0644642,51.09120266,474.4911339,80.83509892,152.7202826,78.42320312,55.40782859,473.3291239
7,18364020.92,49796,75595.28548,38,10,28,15,128,2,252.6948711,134.5519064,194.4034219,104.9512535,395.0510211,179.5747195,123.2722626,161.1531305,29.4051316,372.8406614
9,21394233.74,76827,100111.7771,72,23,32,59,197,2,250.012222,155.036669,124.146881,86.18741534,409.2749076,215.7586595,130.6856177,97.0535945,75.03907893,390.0702777
10,27228634.24,49279,50454.98253,52,30,20,80,126,1,262.0681741,154.3107085,115.5746633,87.82208534,598.0759593,266.494837,143.4785179,72.61944492,44.37647948,600.6993701
13,29508893.74,89370,84431.95812,162,63,55,121,642,2,177.8127472,126.7038153,92.12511632,27.0492514,399.5996178,145.9736854,139.5166673,76.34674353,14.78764601,413.9872165
14,20510163.83,21449,29154.52377,257,98,24,98,525,3,91.98617955,164.2316642,88.11102142,55.51088562,541.3450538,102.4312879,164.8647484,90.13805692,61.42722007,588.8823615
17,22269687.05,73334,91803.51125,53,15,41,108,329,2,284.8583235,92.22838803,65.49579194,31.50341554,295.8530929,269.9654514,73.59209996,47.37785903,13.75155061,285.0106186
18,32280333.9,67784,58540.60509,175,85,38,115,572,4,210.9693974,129.6632916,105.9929909,38.60210927,414.5737556,141.5608212,127.6116276,84.06959774,23.10989038,385.3916032
